,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
158,Yarmouth,US,41.7057,-70.2286,46.96,64,40,24.0,scattered clouds
159,Sokoni,TZ,-6.4333,39.55,78.84,79,98,13.78,light rain
160,Henties Bay,NA,-22.116,14.2845,59.5,85,0,9.48,clear sky
161,Mount Isa,AU,-20.7333,139.5,89.37,27,11,14.97,few clouds
162,Bredasdorp,ZA,-34.5322,20.0403,53.51,88,18,6.85,few clouds
163,Saint-Pierre,RE,-21.3393,55.4781,82.08,70,0,3.44,clear sky
164,Katsuura,JP,35.1333,140.3,55.18,62,22,19.44,few clouds
165,Trancoso,MX,22.7333,-102.3667,64.98,16,0,11.18,clear sky
166,Pisco,PE,-13.7,-76.2167,66.25,77,57,5.75,mist
167,Touros,BR,-5.1989,-35.4608,74.71,84,97,9.57,overcast clouds
168,Ahipara,NZ,-35.1667,173.1667,64.92,73,41,10.56,scattered clouds
169,Beberibe,BR,-4.1797,-38.1306,76.24,87,92,7.72,overcast clouds
170,Butaritari,KI,3.0707,172.7902,81.45,78,43,9.31,scattered clouds
171,Quesnel,CA,52.9999,-122.5029,48.7,40,40,2.3,scattered clouds
172,Oktyabrskoye,RU,43.0645,44.7417,55.54,100,75,2.24,broken clouds
173,Thinadhoo,MV,0.5333,72.9333,85.53,67,84,9.71,broken clouds
174,Makubetsu,JP,45.3714,141.8211,46.11,46,20,16.11,few clouds
175,Chuy,UY,-33.6971,-53.4616,48.87,78,14,3.42,few clouds
176,Bosaso,SO,11.2842,49.1816,87.78,66,0,23.02,clear sky
177,Tuktoyaktuk,CA,69.4541,-133.0374,24.8,86,20,4.61,few clouds
178,Piacabucu,BR,-10.4056,-36.4344,73.85,80,92,1.9,overcast clouds
179,Bogorodskoye,RU,56.55,37.8833,34.2,57,99,10.56,overcast clouds
180,Ust-Tsilma,RU,65.441,52.1498,27.75,56,46,7.0,scattered clouds
181,Miraflores,MX,19.2167,-98.8083,65.05,58,61,3.83,broken clouds
182,Sechura,PE,-5.5569,-80.8222,68.85,76,100,13.29,overcast clouds
183,Tres Picos,MX,15.8667,-93.5333,81.12,84,80,0.67,broken clouds
184,Karatau,KZ,43.1667,70.4667,80.04,38,18,4.12,few clouds
185,Gramalote,CO,7.8875,-72.7975,74.03,90,96,3.62,overcast clouds
186,Buin,CL,-33.7333,-70.75,58.73,46,1,2.3,clear sky
187,Pochutla,MX,15.7432,-96.4661,81.82,65,73,5.97,broken clouds
188,Limon,CR,10.0,-83.0333,76.84,86,97,3.69,overcast clouds
189,Sorland,NO,67.667,12.6934,37.29,58,100,16.89,overcast clouds
190,Bontang,ID,0.1333,117.5,85.3,69,51,8.55,moderate rain
191,Pokhara,NP,28.2333,83.9833,88.79,27,8,6.71,clear sky
192,Hilo,US,19.7297,-155.09,74.28,88,100,4.61,overcast clouds
193,Wanning,CN,18.8003,110.3967,77.83,87,100,7.14,overcast clouds
194,Bathsheba,BB,13.2167,-59.5167,81.21,89,75,13.8,broken clouds
195,Padang,ID,-0.9492,100.3543,87.85,64,79,4.7,broken clouds
196,Lashio,MM,22.9333,97.75,97.75,20,17,3.78,few clouds
197,Port-Gentil,GA,-0.7193,8.7815,76.96,88,100,3.44,thunderstorm with light rain
198,Palmer,US,42.1584,-72.3287,43.5,58,0,0.0,clear sky
199,Luderitz,NA,-26.6481,15.1594,55.18,68,0,11.45,clear sky
200,Westport,US,41.1415,-73.3579,50.56,37,0,8.05,clear sky
201,Birobidzhan,RU,48.8,132.95,53.1,40,100,12.73,overcast clouds
202,Ragay,PH,13.8183,122.7923,87.39,62,99,1.99,overcast clouds
203,Palauig,PH,15.435,119.9045,86.83,66,100,8.63,overcast clouds
204,Cabra,ES,37.4725,-4.4421,52.09,71,3,4.09,clear sky
205,Sault Sainte Marie,CA,46.5168,-84.3333,39.49,35,0,5.75,clear sky
206,Cidreira,BR,-30.1811,-50.2056,59.92,66,0,4.14,clear sky
207,Klaksvik,FO,62.2266,-6.589,45.52,78,100,9.17,overcast clouds
208,Tiksi,RU,71.6872,128.8694,34.84,73,100,17.78,overcast clouds
209,Denpasar,ID,-8.65,115.2167,87.46,79,20,9.22,few clouds
210,Fuerte Olimpo,PY,-21.0415,-57.8738,67.32,93,19,7.16,few clouds
211,Yellowknife,CA,62.456,-114.3525,27.12,63,20,10.36,few clouds
212,Lorengau,PG,-2.0226,147.2712,82.65,75,88,3.15,overcast clouds
213,Galle,LK,6.0367,80.217,86.79,69,92,10.8,overcast clouds
214,Castro,BR,-24.7911,-50.0119,56.88,96,100,7.83,overcast clouds
215,Port Lincoln,AU,-34.7333,135.8667,64.67,56,49,13.31,scattered clouds
216,Ugoofaaru,MV,5.6667,73.0,86.36,71,89,12.01,overcast clouds
217,Brae,GB,60.3964,-1.353,43.23,77,100,6.22,overcast clouds
218,Tura,IN,25.5198,90.2201,87.21,52,96,1.25,overcast clouds
219,Pevek,RU,69.7008,170.3133,18.46,83,100,10.11,overcast clouds
220,Fallon,US,39.4735,-118.7774,53.92,22,40,0.0,scattered clouds
221,Nome,US,64.5011,-165.4064,42.87,62,0,11.5,clear sky
222,Beloha,MG,-25.1667,45.05,68.29,60,0,8.88,clear sky
223,Neijiang,CN,29.5835,105.0622,58.62,75,100,9.91,overcast clouds
224,Digby,CA,44.6169,-65.7655,37.58,98,100,18.79,overcast clouds
225,Marystown,CA,47.1666,-55.1483,43.86,100,100,1.01,overcast clouds
226,Rawson,AR,-43.3002,-65.1023,47.8,46,51,10.45,broken clouds
227,Rognan,NO,67.0953,15.3878,36.05,91,99,6.44,light snow
228,Tupik,RU,54.4253,119.9327,44.67,25,47,5.97,scattered clouds
229,Talagang,PK,32.9297,72.4158,95.14,19,1,9.08,clear sky
230,Sitka,US,57.0531,-135.33,46.29,66,40,0.0,scattered clouds
