City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
342,Nuqui,CO,78.57,light rain,5.7125,-77.2708,Hotel Nuquimar
351,Ambon,ID,89.74,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
352,Komsomolskiy,UZ,77.72,scattered clouds,40.4272,71.7189,Ikathouse
354,Marsh Harbour,BS,72.77,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
355,Cayenne,GF,81.09,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
359,Jawhar,SO,86.86,few clouds,2.7809,45.5005,hantiwadaag village part one
360,Balabac,PH,85.59,overcast clouds,7.9868,117.0645,Batalla’s Lodging House
368,Kandrian,PG,85.12,overcast clouds,-6.2167,149.55,Kandrian Station
370,Manticao,PH,84.9,scattered clouds,8.4042,124.2867,Rosewood Park n' Grill
372,Osmena,PH,84.07,overcast clouds,10.5208,119.9258,Arjemarkyza Lodge
376,Arlit,NE,84.65,overcast clouds,18.7369,7.3853,Case de Passage De la Prefecture
379,Saint-Georges,GD,80.28,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
384,Nago,JP,76.05,overcast clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
385,Saint-Joseph,RE,80.98,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
387,Diffa,NE,85.93,overcast clouds,13.3154,12.6113,ProDAF/Diffa
391,Isangel,VU,76.55,overcast clouds,-19.55,169.2667,Tanna Lodge
396,Naze,JP,70.72,overcast clouds,28.3667,129.4833,Shishime Hotel
399,Mana,GF,77.97,scattered clouds,5.6592,-53.7767,LE SAMANA
401,Dingle,PH,88.27,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
408,Rock Sound,BS,75.2,clear sky,24.9,-76.2,Pink Corral Bay Property
409,Noumea,NC,79.0,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
410,Vao,NC,74.57,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
412,Inirida,CO,72.57,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
414,Dakoro,NE,87.31,overcast clouds,14.5106,6.765,Shagon mai liverpool
418,Bengkulu,ID,84.99,few clouds,-3.8004,102.2655,Grage Hotel Bengkulu
425,Kavaratti,IN,86.09,moderate rain,10.5669,72.642,Hotels in Lakshadweep Islands
426,Tanta,EG,73.9,clear sky,30.7885,31.0019,Hesham & Fouad Pharma Group Pharmacies
427,Semporna,MY,85.26,overcast clouds,4.4818,118.6112,"Han Palace Hotel, Semporna, Sabah."
429,Matay,EG,85.1,broken clouds,28.419,30.7792,Nag Aespen
438,Fethiye,TR,73.27,overcast clouds,36.6217,29.1164,Club & Hotel Letoonia
441,Ramon Castilla,PE,71.08,overcast clouds,-4.2569,-69.9594,Cabañas La Manigua
445,Inhambane,MZ,71.8,clear sky,-23.865,35.3833,Oceano
456,Tezu,IN,81.64,overcast clouds,27.9167,96.1667,Circuit House
462,Kousseri,CM,82.36,overcast clouds,12.0769,15.0306,Le Pilotis
463,Fare,PF,80.76,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
466,Salalah,OM,89.69,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
470,Manggar,ID,86.94,broken clouds,-2.8833,108.2667,Guest Hotel
471,Kupang,ID,86.54,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
472,Moyale,KE,73.36,few clouds,3.5167,39.0584,La Tahzan Guest House
475,Maroantsetra,MG,74.95,overcast clouds,-15.4333,49.7333,Annexe Vatsy Hôtel
476,Kulhudhuffushi,MV,86.07,broken clouds,6.6221,73.07,Haajy Guest House 1
477,Marawi,PH,77.9,broken clouds,7.9986,124.2928,Derogongan Residence
485,Les Cayes,HT,75.31,overcast clouds,18.2,-73.75,Villa Orphee
491,Riyadh,SA,71.74,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
493,Ratnagiri,IN,89.89,clear sky,16.9833,73.3,Hotel Landmark
502,Miri,MY,82.54,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
508,Buraydah,SA,75.65,clear sky,26.326,43.975,Mövenpick Qassim
512,Katobu,ID,85.84,light rain,-4.9408,122.5276,La Ode Husein
515,Le Port,RE,82.4,few clouds,-20.9373,55.2919,KORBEY D'OR OUEST
516,Harper,LR,79.25,light rain,4.375,-7.7169,Screensaver
517,Koubia,GN,73.94,overcast clouds,11.5833,-11.9,Hôtel Mbalou Koubia
518,Flinders,AU,72.05,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
528,Tzucacab,MX,72.68,broken clouds,20.0667,-89.05,Hotel Jabines Centro
529,Taganak,PH,89.74,overcast clouds,6.0833,118.3,Taganak
542,Utinga,BR,73.8,light rain,-5.8172,-35.3954,Espaço de Lazer Érica Fernandes
546,San Cristobal,VE,75.38,broken clouds,7.7669,-72.225,Pirineos
548,Sibolga,ID,86.23,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
551,Banda Aceh,ID,86.43,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
553,Biloela,AU,84.94,few clouds,-24.4167,150.5,Silo Motor Inn Biloela
555,Balikpapan,ID,83.34,overcast clouds,-1.2675,116.8289,Swiss-Belhotel Balikpapan
556,Poso,ID,84.4,broken clouds,-1.3959,120.7524,Hotel 77 Poso
560,Kalmunai,LK,89.24,broken clouds,7.4167,81.8167,VS Villa
561,Kirakira,SB,82.36,overcast clouds,-10.4544,161.9205,SanBiz Lodge
562,Parintins,BR,71.96,overcast clouds,-2.6283,-56.7358,Cama e Cafe
564,Mandera,KE,85.89,scattered clouds,3.9366,41.867,Red Sea Resort & Suites Mandera County
566,Upata,VE,74.19,broken clouds,8.0086,-62.3989,Posada Villa Nela
572,Hobyo,SO,86.29,scattered clouds,5.3505,48.5268,Iftin hotel hobyo
573,Alice,US,76.57,overcast clouds,27.7523,-98.0697,"Holiday Inn Express & Suites Alice, an IHG Hotel"
575,Bambari,CF,73.58,overcast clouds,5.768,20.6757,Hotel-Restaurant BIBICH
577,Karaton,ID,84.54,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
579,Ullal,IN,83.35,broken clouds,12.8,74.85,AK INTERNATIONAL LODGE
588,Mangrol,IN,89.67,clear sky,21.1167,70.1167,Hotel The Royal Honours
590,Porto Velho,BR,75.25,clear sky,-8.7619,-63.9039,Ecos Hotel Conforto
593,Puerto Penasco,MX,70.92,clear sky,31.3167,-113.5333,Playa Bonita Resort
594,Gushikawa,JP,76.23,overcast clouds,26.3544,127.8686,Kirari Guest House
595,Nsanje,MW,72.0,clear sky,-16.92,35.262,Nsanje Discovery Lodge
601,Boyolangu,ID,85.46,scattered clouds,-8.1181,111.8935,Yos ega cv
606,Alice Springs,AU,74.75,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
607,Cap Malheureux,MU,80.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
612,Axim,GH,78.64,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
613,Rio Esteban,HN,75.74,few clouds,15.8333,-86.3,Hotel La Fé
616,Sawtell,AU,78.82,broken clouds,-30.3833,153.1,The Bungalow Sawtell
623,Port Moresby,PG,85.42,light rain,-9.4431,147.1797,Lamana Hotel (Port Moresby)
625,Seminole,US,72.21,clear sky,28.7086,-81.2081,Ono Hot Dog Cart and Catering
632,Omboue,GA,76.73,light rain,-1.5746,9.2618,Hotel Olako
638,Yeppoon,AU,82.18,scattered clouds,-23.1333,150.7333,Villa Mar Colina
639,Alice Town,BS,76.08,broken clouds,25.7167,-79.3,Bimini Big Game Club Resort & Marina
